geometry, dimension, cardinality, alpha
mixed, 4, 150, 2.750067
mixed, 4, 200, 2.924685
mixed, 4, 250, 3.050937
mixed, 4, 300, 3.078742
mixed, 5, 25, 2.313480
mixed, 5, 50, 2.404444
mixed, 5, 75, 2.331831
mixed, 5, 100, 2.297734
mixed, 5, 150, 2.438421
mixed, 5, 200, 2.440826
mixed, 5, 250, 2.533546
mixed, 5, 300, 2.483489
mixed, 6, 25, 2.280823
mixed, 6, 50, 2.090084
mixed, 6, 75, 2.198927
mixed, 6, 100, 2.171433
mixed, 6, 150, 2.297982
mixed, 6, 200, 2.291439
mixed, 6, 250, 2.492116
mixed, 6, 300, 2.521062
mixed, 7, 25, 2.301018
mixed, 7, 50, 2.458929
mixed, 7, 75, 2.013377
mixed, 7, 100, 2.480367
mixed, 7, 150, 2.256134
mixed, 7, 200, 2.299877
mixed, 7, 250, 2.238202
mixed, 7, 300, 2.363488
mixed, 8, 25, 2.234410
mixed, 8, 50, 2.203443
mixed, 8, 75, 2.261059
mixed, 8, 100, 2.094937
mixed, 8, 150, 2.563781
mixed, 8, 200, 2.616561
mixed, 8, 250, 2.665002
mixed, 8, 300, 2.675151
mixed, 9, 25, 1.873157
mixed, 9, 50, 2.294801
mixed, 9, 75, 2.498225
mixed, 9, 100, 2.490635
mixed, 9, 150, 3.194465
mixed, 9, 200, 3.433688
mixed, 9, 250, 3.504704
mixed, 9, 300, 3.496790
mixed, 10, 25, 2.244760
mixed, 10, 50, 2.090615
mixed, 10, 75, 2.316009
mixed, 10, 100, 2.520028
mixed, 10, 150, 2.546974
mixed, 10, 200, 3.887282
mixed, 10, 250, 3.853243
mixed, 10, 300, 3.889817
disconnected, 2, 25, 7.877740
disconnected, 2, 50, 6.238465
disconnected, 2, 75, 3.155693
disconnected, 2, 100, 7.079004
disconnected, 2, 150, 3.452415
disconnected, 2, 200, 14.992060
disconnected, 2, 250, 16.107432
disconnected, 2, 300, 3.207533
disconnected, 3, 25, 0.018545
disconnected, 3, 50, 1.655527
disconnected, 3, 75, 2.499606
disconnected, 3, 100, 3.016454
disconnected, 3, 150, 2.562989
disconnected, 3, 200, 4.147530
disconnected, 3, 250, 3.410843
disconnected, 3, 300, 2.916795
disconnected, 4, 25, 2.119983
disconnected, 4, 50, 2.283330
disconnected, 4, 75, 2.461952
disconnected, 4, 100, 2.131556
disconnected, 4, 150, 2.598697
disconnected, 4, 200, 2.662197
disconnected, 4, 250, 2.378074
disconnected, 4, 300, 2.380156
disconnected, 5, 25, 2.145841
disconnected, 5, 50, 1.968659
disconnected, 5, 75, 2.089294
disconnected, 5, 100, 2.360470
disconnected, 5, 150, 2.085830
disconnected, 5, 200, 2.263610
disconnected, 5, 250, 2.494524
disconnected, 5, 300, 2.231007
disconnected, 6, 25, 2.076833
disconnected, 6, 50, 2.276753
disconnected, 6, 75, 2.279647
disconnected, 6, 100, 2.304125
disconnected, 6, 150, 2.456413
disconnected, 6, 200, 2.457899
disconnected, 6, 250, 2.359494
disconnected, 6, 300, 2.413822
disconnected, 7, 25, 3.328613
disconnected, 7, 50, 2.180269
disconnected, 7, 75, 1.741306
disconnected, 7, 100, 2.214952
