geometry, dimension, cardinality, alpha
mixed, 7, 100, 11.599801
mixed, 7, 150, 16.653151
mixed, 7, 200, 9.338113
mixed, 7, 250, 12.230208
mixed, 7, 300, 17.919470
mixed, 8, 25, 4.672740
mixed, 8, 50, 10.268201
mixed, 8, 75, 16.430773
mixed, 8, 100, 13.587316
mixed, 8, 150, 12.049354
mixed, 8, 200, 12.700848
mixed, 8, 250, 12.757778
mixed, 8, 300, 12.232629
mixed, 9, 25, 6.153973
mixed, 9, 50, 16.663400
mixed, 9, 75, 14.354030
mixed, 9, 100, 14.075757
mixed, 9, 150, 8.984812
mixed, 9, 200, 15.362929
mixed, 9, 250, 12.363738
mixed, 9, 300, 12.845159
mixed, 10, 25, 3.170238
mixed, 10, 50, 9.590861
mixed, 10, 75, 11.398461
mixed, 10, 100, 15.959992
mixed, 10, 150, 13.626854
mixed, 10, 200, 16.179886
mixed, 10, 250, 15.055112
mixed, 10, 300, 19.346292
disconnected, 2, 25, 1.255881
disconnected, 2, 50, 3.861573
disconnected, 2, 75, 1.104641
disconnected, 2, 100, 3.289030
disconnected, 2, 150, 2.633272
disconnected, 2, 200, 4.129856
disconnected, 2, 250, 1.689164
disconnected, 2, 300, 6.507461
disconnected, 3, 25, 3.132351
disconnected, 3, 50, 1.309094
disconnected, 3, 75, 4.198070
disconnected, 3, 100, 3.892337
disconnected, 3, 150, 3.898447
disconnected, 3, 200, 4.790958
disconnected, 3, 250, 3.972141
disconnected, 3, 300, 3.973128
disconnected, 4, 25, 4.740307
disconnected, 4, 50, 6.197379
disconnected, 4, 75, 3.862396
disconnected, 4, 100, 5.422272
disconnected, 4, 150, 5.421444
disconnected, 4, 200, 6.278926
disconnected, 4, 250, 7.577134
disconnected, 4, 300, 3.912676
disconnected, 5, 25, 4.224104
disconnected, 5, 50, 8.220264
disconnected, 5, 75, 6.663434
disconnected, 5, 100, 5.649080
disconnected, 5, 150, 5.276868
disconnected, 5, 200, 9.538698
disconnected, 5, 250, 13.163265
disconnected, 5, 300, 10.620379
disconnected, 6, 25, 12.087710
disconnected, 6, 50, 8.413044
disconnected, 6, 75, 11.470128
disconnected, 6, 100, 8.463973
disconnected, 6, 150, 12.075268
disconnected, 6, 200, 11.548962
disconnected, 6, 250, 11.368585
disconnected, 6, 300, 15.185773
disconnected, 7, 25, 3.182460
disconnected, 7, 50, 10.918135
disconnected, 7, 75, 19.846300
disconnected, 7, 100, 9.569601
disconnected, 7, 150, 11.766901
disconnected, 7, 200, 12.102668
disconnected, 7, 250, 13.659484
disconnected, 7, 300, 11.391864
disconnected, 8, 25, 7.952423
disconnected, 8, 50, 8.218364
disconnected, 8, 75, 7.337672
disconnected, 8, 100, 6.882253
disconnected, 8, 150, 11.718463
disconnected, 8, 200, 11.253588
disconnected, 8, 250, 13.740447
disconnected, 8, 300, 11.683941
disconnected, 9, 25, 10.321470
disconnected, 9, 50, 2.738124
disconnected, 9, 75, 4.307550
disconnected, 9, 100, 11.126411
disconnected, 9, 150, 10.401420
disconnected, 9, 200, 11.648033
disconnected, 9, 250, 11.318542
disconnected, 9, 300, 10.618898
