geometry, dimension, cardinality, alpha
degenerate, 2, 50, 6439.072731
degenerate, 2, 75, 12519.606521
degenerate, 2, 100, 5573.186926
degenerate, 2, 150, 14109.081403
degenerate, 2, 200, 24937.577768
degenerate, 2, 250, 38464.546815
degenerate, 2, 300, 56824.156030
degenerate, 3, 25, 230.539910
degenerate, 3, 50, 22720.209794
degenerate, 3, 75, 9923.678278
degenerate, 3, 100, 12941.813530
degenerate, 3, 150, 270618.961535
degenerate, 3, 200, 153101.966449
degenerate, 3, 250, 78163.020741
degenerate, 3, 300, 34201.968823
degenerate, 4, 25, 26187.488290
degenerate, 4, 50, 8396.128216
degenerate, 4, 75, 55340.708658
degenerate, 4, 100, 119080.515822
degenerate, 4, 150, 203715.026695
degenerate, 4, 200, 53329.080405
degenerate, 4, 250, 400846.862625
degenerate, 4, 300, 548070.423968
degenerate, 5, 25, 16744.466413
degenerate, 5, 50, 7430.866211
degenerate, 5, 75, 93950.853983
degenerate, 5, 100, 45782.719280
degenerate, 5, 150, 10334.265311
degenerate, 5, 200, 213863.266163
degenerate, 5, 250, 264728.375497
degenerate, 5, 300, 249895.287773
degenerate, 6, 25, 10076.900180
degenerate, 6, 50, 959.188274
degenerate, 6, 75, 17779.006359
degenerate, 6, 100, 163126.093184
degenerate, 6, 150, 135686.330740
degenerate, 6, 200, 200704.569891
degenerate, 6, 250, 41322.117018
degenerate, 6, 300, 148738.357260
degenerate, 7, 25, 17242.229235
degenerate, 7, 50, 7185.680708
degenerate, 7, 75, 72760.011243
degenerate, 7, 100, 25268.436683
degenerate, 7, 150, 104119.757661
degenerate, 7, 200, 97108.475469
degenerate, 7, 250, 65053.358893
degenerate, 7, 300, 67684.922790
degenerate, 8, 25, 57558.746779
degenerate, 8, 50, 808.982769
degenerate, 8, 75, 10443.747238
degenerate, 8, 100, 41400.907646
degenerate, 8, 150, 52344.080689
degenerate, 8, 200, 27486.191083
degenerate, 8, 250, 40676.722426
degenerate, 8, 300, 76606.454367
degenerate, 9, 25, 15232.170190
degenerate, 9, 50, 45734.995637
degenerate, 9, 75, 33687.329390
degenerate, 9, 100, 63842.500633
degenerate, 9, 150, 7176.078198
degenerate, 9, 200, 34878.826665
degenerate, 9, 250, 305075.688643
degenerate, 9, 300, 205908.422081
degenerate, 10, 25, 17268.180166
degenerate, 10, 50, 93244.475183
degenerate, 10, 75, 11563.174142
degenerate, 10, 100, 88143.155472
degenerate, 10, 150, 17788.471630
degenerate, 10, 200, 40563.296903
degenerate, 10, 250, 21549.434325
degenerate, 10, 300, 43353.961572
