geometry, dimension, cardinality, alpha
mixed, 9, 75, 198.741704
mixed, 9, 100, 301.808136
mixed, 9, 150, 338.728415
mixed, 9, 200, 306.598021
mixed, 9, 250, 306.478630
mixed, 9, 300, 727.935816
mixed, 10, 25, 171.551840
mixed, 10, 50, 205.456198
mixed, 10, 75, 278.326346
mixed, 10, 100, 278.326346
mixed, 10, 150, 309.888025
mixed, 10, 200, 897.261101
mixed, 10, 250, 1265.154384
mixed, 10, 300, 1153.172035
disconnected, 2, 25, 32.528913
disconnected, 2, 50, 77.115176
disconnected, 2, 75, 105.240531
disconnected, 2, 100, 1288.603404
disconnected, 2, 150, 196.138968
disconnected, 2, 200, 1261.964946
disconnected, 2, 250, 2027.998961
disconnected, 2, 300, 964.779088
disconnected, 3, 25, 6.682727
disconnected, 3, 50, 9.520256
disconnected, 3, 75, 11.264340
disconnected, 3, 100, 41.293235
disconnected, 3, 150, 17.152779
disconnected, 3, 200, 37.870382
disconnected, 3, 250, 313.499029
disconnected, 3, 300, 28.706931
disconnected, 4, 25, 11.849562
disconnected, 4, 50, 169.437766
disconnected, 4, 75, 35.855282
disconnected, 4, 100, 12.037267
disconnected, 4, 150, 34.281693
disconnected, 4, 200, 29.919392
disconnected, 4, 250, 31.888126
disconnected, 4, 300, 20.974642
disconnected, 5, 25, 139.807728
disconnected, 5, 50, 181.503619
disconnected, 5, 75, 200.098585
disconnected, 5, 100, 232.703382
disconnected, 5, 150, 283.704944
disconnected, 5, 200, 379.372227
disconnected, 5, 250, 104.690973
disconnected, 5, 300, 478.692718
disconnected, 6, 25, 167.486854
disconnected, 6, 50, 176.617154
disconnected, 6, 75, 243.062724
disconnected, 6, 100, 240.632133
disconnected, 6, 150, 296.341425
disconnected, 6, 200, 296.182291
disconnected, 6, 250, 339.851314
disconnected, 6, 300, 154.030573
disconnected, 7, 25, 123.042808
disconnected, 7, 50, 203.355559
disconnected, 7, 75, 229.505259
disconnected, 7, 100, 225.007186
disconnected, 7, 150, 292.043814
disconnected, 7, 200, 378.355720
disconnected, 7, 250, 455.857172
disconnected, 7, 300, 295.675659
disconnected, 8, 25, 173.056341
disconnected, 8, 50, 213.852374
disconnected, 8, 75, 218.245029
disconnected, 8, 100, 350.822579
disconnected, 8, 150, 301.108513
disconnected, 8, 200, 394.610930
disconnected, 8, 250, 463.908307
disconnected, 8, 300, 595.352350
disconnected, 9, 25, 151.755827
disconnected, 9, 50, 181.901448
disconnected, 9, 75, 192.429449
disconnected, 9, 100, 277.428267
disconnected, 9, 150, 332.450835
disconnected, 9, 200, 391.332066
disconnected, 9, 250, 455.313109
disconnected, 9, 300, 53.580161
disconnected, 10, 25, 339.286207
disconnected, 10, 50, 5.495626
disconnected, 10, 75, 56.252183
disconnected, 10, 100, 357.372122
disconnected, 10, 150, 351.879253
disconnected, 10, 200, 24.818569
disconnected, 10, 250, 44.729221
disconnected, 10, 300, 42.494840
degenerate, 2, 25, 306.846769
degenerate, 2, 50, 180.135013
degenerate, 2, 75, 96.857936
degenerate, 2, 100, 80.960839
degenerate, 2, 150, 1660.621277
degenerate, 2, 200, 2713.749925
degenerate, 2, 250, 296.594610
degenerate, 2, 300, 318.095855
degenerate, 3, 25, 62.732651
degenerate, 3, 50, 87.327174
degenerate, 3, 75, 882.426662
degenerate, 3, 100, 101.479194
degenerate, 3, 150, 1655.824351
degenerate, 3, 200, 2003.463670
degenerate, 3, 250, 374.949533
degenerate, 3, 300, 2882.710855
degenerate, 4, 25, 37.970350
degenerate, 4, 50, 78.969773
degenerate, 4, 75, 45.601647
degenerate, 4, 100, 796.733604
degenerate, 4, 150, 1852.689226
degenerate, 4, 200, 222.416800
degenerate, 4, 250, 821.358836
degenerate, 4, 300, 905.544480
degenerate, 5, 25, 64.093695
degenerate, 5, 50, 308.491247
degenerate, 5, 75, 459.682984
degenerate, 5, 100, 63.369968
degenerate, 5, 150, 70.254211
degenerate, 5, 200, 1905.767363
degenerate, 5, 250, 846.152324
degenerate, 5, 300, 407.135954
degenerate, 6, 25, 96.812991
degenerate, 6, 50, 33.741783
degenerate, 6, 75, 852.462158
degenerate, 6, 100, 134.127215
degenerate, 6, 150, 981.481943
degenerate, 6, 200, 226.537508
degenerate, 6, 250, 167.481539
degenerate, 6, 300, 684.907712
degenerate, 7, 25, 171.608296
degenerate, 7, 50, 24.785803
degenerate, 7, 75, 115.429709
degenerate, 7, 100, 134.131828
degenerate, 7, 150, 195.447382
degenerate, 7, 200, 598.294287
degenerate, 7, 250, 135.438846
degenerate, 7, 300, 790.559486
degenerate, 8, 25, 47.389240
degenerate, 8, 50, 55.656210
degenerate, 8, 75, 601.985977
degenerate, 8, 100, 690.036923
degenerate, 8, 150, 158.371962
degenerate, 8, 200, 536.913121
degenerate, 8, 250, 938.710762
degenerate, 8, 300, 4035.632825
degenerate, 9, 25, 13.886585
