geometry, dimension, cardinality, alpha
disconnected, 8, 300, 127.714307
disconnected, 9, 25, 127.714307
disconnected, 9, 50, 127.714307
disconnected, 9, 75, 127.714307
disconnected, 9, 100, 127.714307
disconnected, 9, 150, 127.714307
disconnected, 9, 200, 127.714307
disconnected, 9, 250, 127.714307
disconnected, 9, 300, 127.714307
disconnected, 10, 25, 9.111067
disconnected, 10, 50, 10.663252
disconnected, 10, 75, 13.025459
disconnected, 10, 100, 13.645505
disconnected, 10, 150, 17.723793
disconnected, 10, 200, 18.893901
disconnected, 10, 250, 20.697693
disconnected, 10, 300, 26.270059
mixed, 2, 25, 5332.130854
mixed, 2, 50, 22303.908469
mixed, 2, 75, 52372.722438
mixed, 2, 100, 82770.008079
mixed, 2, 150, 195750.142505
mixed, 2, 200, 317050.999389
mixed, 2, 250, 506436.592885
mixed, 2, 300, 679797.762536
mixed, 3, 25, 616.841636
mixed, 3, 50, 1435.844649
mixed, 3, 75, 2508.921519
mixed, 3, 100, 3343.497438
mixed, 3, 150, 4795.008259
mixed, 3, 200, 6804.684591
mixed, 3, 250, 8420.454296
mixed, 3, 300, 10818.964566
mixed, 4, 25, 296.471250
mixed, 4, 50, 632.325650
mixed, 4, 75, 949.351611
mixed, 4, 100, 1278.857207
mixed, 4, 150, 1885.542338
mixed, 4, 200, 2515.481889
mixed, 4, 250, 2967.545166
mixed, 4, 300, 3352.990903
mixed, 5, 25, 208.512314
mixed, 5, 50, 417.151762
mixed, 5, 75, 589.503257
mixed, 5, 100, 787.974678
mixed, 5, 150, 1092.666200
mixed, 5, 200, 1424.888904
mixed, 5, 250, 1644.636835
mixed, 5, 300, 1970.949102
mixed, 6, 25, 143.669783
mixed, 6, 50, 289.627253
mixed, 6, 75, 432.632506
mixed, 6, 100, 571.194586
mixed, 6, 150, 746.905878
mixed, 6, 200, 1019.102915
mixed, 6, 250, 1170.928891
mixed, 6, 300, 1304.335764
mixed, 7, 25, 141.526738
mixed, 7, 50, 245.528021
mixed, 7, 75, 333.166330
mixed, 7, 100, 460.429554
mixed, 7, 150, 595.512274
mixed, 7, 200, 736.171450
mixed, 7, 250, 831.712081
mixed, 7, 300, 1006.839433
mixed, 8, 25, 106.220169
mixed, 8, 50, 196.877620
mixed, 8, 75, 305.564020
mixed, 8, 100, 352.231763
mixed, 8, 150, 458.239437
mixed, 8, 200, 594.228628
mixed, 8, 250, 733.870813
mixed, 8, 300, 827.350752
mixed, 9, 25, 90.636099
mixed, 9, 50, 160.839941
mixed, 9, 75, 272.749534
mixed, 9, 100, 293.320681
mixed, 9, 150, 384.105289
mixed, 9, 200, 526.951800
mixed, 9, 250, 636.775736
mixed, 9, 300, 690.859113
mixed, 10, 25, 103.561732
mixed, 10, 50, 188.131142
mixed, 10, 75, 225.618050
mixed, 10, 100, 235.255966
mixed, 10, 150, 311.321949
mixed, 10, 200, 485.207989
mixed, 10, 250, 565.034440
mixed, 10, 300, 698.098388
disconnected, 2, 25, 7723.106251
disconnected, 2, 50, 38196.144565
disconnected, 2, 75, 90265.012689
disconnected, 2, 100, 159969.220231
disconnected, 2, 150, 352747.045639
disconnected, 2, 200, 604815.010620
disconnected, 2, 250, 936325.567355
disconnected, 2, 300, 1250294.329023
disconnected, 3, 25, 460.997500
disconnected, 3, 50, 1103.084177
disconnected, 3, 75, 1968.295133
disconnected, 3, 100, 2445.063455
disconnected, 3, 150, 3978.717104
disconnected, 3, 200, 5916.836242
disconnected, 3, 250, 7253.121622
disconnected, 3, 300, 9461.541154
disconnected, 4, 25, 293.479239
disconnected, 4, 50, 496.809975
disconnected, 4, 75, 861.939198
disconnected, 4, 100, 1087.299658
disconnected, 4, 150, 1601.274039
disconnected, 4, 200, 1965.972476
disconnected, 4, 250, 2477.659458
disconnected, 4, 300, 2834.308790
disconnected, 5, 25, 161.906430
disconnected, 5, 50, 367.924943
disconnected, 5, 75, 476.336413
disconnected, 5, 100, 648.916172
disconnected, 5, 150, 937.344025
disconnected, 5, 200, 1234.543036
disconnected, 5, 250, 1416.575936
disconnected, 5, 300, 1705.312932
disconnected, 6, 25, 131.720373
disconnected, 6, 50, 245.692896
disconnected, 6, 75, 393.833801
disconnected, 6, 100, 476.405039
disconnected, 6, 150, 646.966539
disconnected, 6, 200, 796.475928
disconnected, 6, 250, 985.120570
disconnected, 6, 300, 1108.856186
disconnected, 7, 25, 100.981040
disconnected, 7, 50, 194.925182
disconnected, 7, 75, 284.438009
disconnected, 7, 100, 378.814471
disconnected, 7, 150, 484.685104
disconnected, 7, 200, 589.103037
disconnected, 7, 250, 698.840963
disconnected, 7, 300, 859.472071
disconnected, 8, 25, 103.840154
disconnected, 8, 50, 195.498030
disconnected, 8, 75, 236.856368
disconnected, 8, 100, 282.335031
disconnected, 8, 150, 423.444722
disconnected, 8, 200, 515.056181
disconnected, 8, 250, 591.275927
disconnected, 8, 300, 722.386787
disconnected, 9, 25, 77.245900
disconnected, 9, 50, 140.703111
disconnected, 9, 75, 204.540946
disconnected, 9, 100, 266.855434
disconnected, 9, 150, 339.605898
disconnected, 9, 200, 443.568563
disconnected, 9, 250, 523.447569
disconnected, 9, 300, 564.004606
disconnected, 10, 25, 74.926038
disconnected, 10, 50, 155.713555
disconnected, 10, 75, 211.339213
disconnected, 10, 100, 251.659615
disconnected, 10, 150, 364.833642
disconnected, 10, 200, 424.613045
disconnected, 10, 250, 512.408260
disconnected, 10, 300, 528.897842
degenerate, 2, 25, 6390.507954
degenerate, 2, 50, 26347.060472
degenerate, 2, 75, 61291.318562
degenerate, 2, 100, 99778.043118
degenerate, 2, 150, 233455.507390
degenerate, 2, 200, 418005.776190
degenerate, 2, 250, 599466.364624
degenerate, 2, 300, 884074.885298
degenerate, 3, 25, 4144.731671
degenerate, 3, 50, 17952.949618
degenerate, 3, 75, 42583.672980
degenerate, 3, 100, 74904.223251
degenerate, 3, 150, 153304.774204
degenerate, 3, 200, 280013.565874
degenerate, 3, 250, 470906.174118
degenerate, 3, 300, 539909.377030
degenerate, 4, 25, 3818.480121
degenerate, 4, 50, 13367.765286
